Proclass,Supplier,Directorate,Cost Centre,Account Code,Transaction Date,Amount
Temporary & Agency Staff,Dr Lisa Michelle Bewick,People,Education Psychologists,Agency Staff,16/12/2020,3270
Temporary & Agency Staff,Dr Sharla Lawrence,People,Education Psychologists,Agency Staff,31/12/2020,2280
Temporary & Agency Staff,Driver Force Recruitment Ltd T/A Driver Hire Coventry,Place,Passenger Transport,Agency Staff,19/01/2021,905.17
Temporary & Agency Staff,Driver Force Recruitment Ltd T/A Driver Hire Coventry,Place,Passenger Transport,Agency Staff,12/01/2021,797.5
Temporary & Agency Staff,Driver Force Recruitment Ltd T/A Driver Hire Coventry,Place,Passenger Transport,Agency Staff,21/12/2020,1008.84
Temporary & Agency Staff,Emily Heath,People,Education Psychologists,Agency Staff,05/01/2021,2040
Temporary & Agency Staff,Glendale Grounds Management Ltd ,Place,Streetscene & Greenspace - COVID 19 specific expenditure,Agency Staff,26/01/2021,1504
Temporary & Agency Staff,Hays Plc,People,Children´s Sensory Support Service,Agency Staff,22/12/2020,600
Temporary & Agency Staff,Institute Of Cemetery & Crem Mgmt,Place,Crematorium,Agency Staff,11/01/2021,5100
Temporary & Agency Staff,Just Teachers Ltd,People,Behaviour Support - Primary Centres,Agency Staff,30/12/2020,602.5
Temporary & Agency Staff,Just Teachers Ltd,People,Behaviour Support - Primary Centres,Agency Staff,30/12/2020,602.5
Temporary & Agency Staff,Just Teachers Ltd,People,Behaviour Support - Primary Centres,Agency Staff,30/12/2020,602.5
Temporary & Agency Staff,Just Teachers Ltd,People,Behaviour Support - Primary Centres,Agency Staff,30/12/2020,1305
Temporary & Agency Staff,Just Teachers Ltd,People,Behaviour Support - Primary Centres,Agency Staff,30/12/2020,1305
Temporary & Agency Staff,Just Teachers Ltd,People,Behaviour Support - Primary Centres,Agency Staff,30/12/2020,1566
Temporary & Agency Staff,Just Teachers Ltd,People,Coventry Extended Learning Centre,Agency Staff,16/12/2020,1296
Temporary & Agency Staff,Just Teachers Ltd,People,Behaviour Support - Primary Centres,Agency Staff,04/11/2020,602.5
Temporary & Agency Staff,Just Teachers Ltd,People,Behaviour Support - Primary Centres,Agency Staff,04/11/2020,602.5
Temporary & Agency Staff,Just Teachers Ltd,People,Behaviour Support - Primary Centres,Agency Staff,04/11/2020,602.5
Temporary & Agency Staff,Just Teachers Ltd,People,Behaviour Support - Primary Centres,Agency Staff,04/11/2020,602.5
Temporary & Agency Staff,Just Teachers Ltd,People,Behaviour Support - Primary Centres,Agency Staff,04/11/2020,1305
Temporary & Agency Staff,Just Teachers Ltd,People,Behaviour Support - Primary Centres,Agency Staff,04/11/2020,1305
Temporary & Agency Staff,Just Teachers Ltd,People,Behaviour Support - Primary Centres,Agency Staff,04/11/2020,1305
Temporary & Agency Staff,Just Teachers Ltd,People,Behaviour Support - Primary Centres,Agency Staff,04/11/2020,1305
Temporary & Agency Staff,Just Teachers Ltd,People,Behaviour Support - Primary Centres,Agency Staff,30/09/2020,602.5
Temporary & Agency Staff,Just Teachers Ltd,People,Behaviour Support - Primary Centres,Agency Staff,30/09/2020,602.5
Temporary & Agency Staff,Just Teachers Ltd,People,Behaviour Support - Primary Centres,Agency Staff,30/09/2020,602.5
Temporary & Agency Staff,Just Teachers Ltd,People,Behaviour Support - Primary Centres,Agency Staff,30/09/2020,602.5
Temporary & Agency Staff,Just Teachers Ltd,People,Behaviour Support - Primary Centres,Agency Staff,30/09/2020,1044
Temporary & Agency Staff,Just Teachers Ltd,People,Behaviour Support - Primary Centres,Agency Staff,30/09/2020,1305
Temporary & Agency Staff,Just Teachers Ltd,People,Behaviour Support - Primary Centres,Agency Staff,30/09/2020,1305
Temporary & Agency Staff,Just Teachers Ltd,People,Behaviour Support - Primary Centres,Agency Staff,30/09/2020,1305
Temporary & Agency Staff,Leaders In Care Recruitment Ltd,People,Central Social Worker Caseholding Team,Agency Staff,20/01/2021,1554
Temporary & Agency Staff,Leaders In Care Recruitment Ltd,People,Central Social Worker Caseholding Team,Agency Staff,12/01/2021,1554
Temporary & Agency Staff,Psychology Tree Consulting,People,Education Psychologists,Agency Staff,21/01/2021,1000
Temporary & Agency Staff,Psychology Tree Consulting,People,Education Psychologists,Agency Staff,21/12/2020,1000
Temporary & Agency Staff,Psychology Tree Consulting,People,Education Psychologists,Agency Staff,21/12/2020,1000
Temporary & Agency Staff,Red Sector Recruitment Ltd,People,Central Social Worker Caseholding Team,Agency Staff,20/01/2021,1575.83
Temporary & Agency Staff,Red Sector Recruitment Ltd,People,Central Social Worker Caseholding Team,Agency Staff,29/12/2020,1365.67
Temporary & Agency Staff,Red Sector Recruitment Ltd,People,Central Social Worker Caseholding Team,Agency Staff,22/12/2020,1588.12
Temporary & Agency Staff,Red Sector Recruitment Ltd,People,Central Social Worker Caseholding Team,Agency Staff,16/12/2020,1605.17
Temporary & Agency Staff,Red Sector Recruitment Ltd,People,Central Social Worker Caseholding Team,Agency Staff,16/09/2020,1580.69
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Streetpride North,Agency Staff,01/01/2021,502.83
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Streetpride North,Agency Staff,01/01/2021,502.83
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Legal Services,Agency Staff,01/01/2021,514.8
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Coombe,Agency Staff,01/01/2021,515.03
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Coombe,Agency Staff,01/01/2021,523.96
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Coombe,Agency Staff,01/01/2021,523.96
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Housing Options - Homelessness Administration,Agency Staff,01/01/2021,525.25
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,ESU – Emergency Services Unit,Agency Staff,01/01/2021,534.48
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Streetpride North,Agency Staff,01/01/2021,535.02
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Streetpride North,Agency Staff,01/01/2021,535.02
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Streetpride North,Agency Staff,01/01/2021,535.02
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Housing Options - Homelessness Administration,Agency Staff,01/01/2021,540.93
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Repair & Maintenance,Agency Staff,01/01/2021,544.66
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Domestic Refuse,Agency Staff,01/01/2021,546.5
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,West Social Worker Caseholding Team,Agency Staff,01/01/2021,548.25
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Local Pinch Point Fund,Agency Staff,01/01/2021,549.82
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Local Pinch Point Fund,Agency Staff,01/01/2021,549.82
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Housing Options - Homelessness Administration,Agency Staff,01/01/2021,553.97
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Housing Options - Homelessness Administration,Agency Staff,01/01/2021,558.78
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Housing Options - Homelessness Administration,Agency Staff,01/01/2021,558.78
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Housing Options - Homelessness Administration,Agency Staff,01/01/2021,558.78
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,LAC Throughcare Team,Agency Staff,01/01/2021,563.33
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Local Pinch Point Fund,Agency Staff,01/01/2021,563.34
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Nuneaton & Bedworth BC - Recycling Collection Service,Agency Staff,01/01/2021,569.44
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Think Active - Management Costs,Agency Staff,01/01/2021,570.39
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Local Pinch Point Fund,Agency Staff,01/01/2021,582.5
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Local Pinch Point Fund,Agency Staff,01/01/2021,582.5
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Local Pinch Point Fund,Agency Staff,01/01/2021,583.59
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Housing Options - Homelessness Administration,Agency Staff,01/01/2021,583.97
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Children´s Disability,Agency Staff,01/01/2021,587.2
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Children´s Disability,Agency Staff,01/01/2021,587.2
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Children´s Disability,Agency Staff,01/01/2021,587.2
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Central Social Worker Caseholding Team,Agency Staff,01/01/2021,603.25
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,ESU – Emergency Services Unit,Agency Staff,01/01/2021,604.83
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Domestic Refuse,Agency Staff,01/01/2021,606.61
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Governance Services,Agency Staff,01/01/2021,613.55
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Coombe,Agency Staff,01/01/2021,619.59
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Domestic Refuse,Agency Staff,01/01/2021,622.58
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Social Worker Academy,Agency Staff,01/01/2021,631.6
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Social Worker Academy,Agency Staff,01/01/2021,631.6
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Social Worker Academy,Agency Staff,01/01/2021,631.6
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Social Worker Academy,Agency Staff,01/01/2021,631.6
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Public Realm Projects,Agency Staff,01/01/2021,631.9
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Public Realm Projects,Agency Staff,01/01/2021,631.9
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Public Realm Projects,Agency Staff,01/01/2021,631.9
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Streetpride North,Agency Staff,01/01/2021,660.06
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Customer Services & Transformation Management Team,Agency Staff,01/01/2021,662.52
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Customer Services & Transformation Management Team,Agency Staff,01/01/2021,662.52
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Customer Services & Transformation Management Team,Agency Staff,01/01/2021,662.52
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Customer Services & Transformation Management Team,Agency Staff,01/01/2021,662.52
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Customer Services & Transformation Management Team,Agency Staff,01/01/2021,662.52
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Customer Services & Transformation Management Team,Agency Staff,01/01/2021,672.2
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,NRSWA/TMA Streetworks,Agency Staff,01/01/2021,679.74
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Legal Services,Agency Staff,01/01/2021,681.81
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,LAC Throughcare Team,Agency Staff,01/01/2021,682.8
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Financial Management Team,Agency Staff,01/01/2021,703.21
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,E & TS Occupational Therapy Service,Agency Staff,01/01/2021,705.89
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Children´s Disability,Agency Staff,01/01/2021,711.01
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Children´s Disability,Agency Staff,01/01/2021,711.01
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Central Social Worker Caseholding Team,Agency Staff,01/01/2021,716.94
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Local Pinch Point Fund,Agency Staff,01/01/2021,729.12
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,MH Community Mental Health Team,Agency Staff,01/01/2021,741.36
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,LAC Throughcare Team,Agency Staff,01/01/2021,751.08
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,LAC Permanency,Agency Staff,01/01/2021,768.16
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Air Quality Early Measures,Agency Staff,01/01/2021,807.44
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,All Age Disability Team 15-26+,Agency Staff,01/01/2021,833.02
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Director - Transport & Highways,Agency Staff,01/01/2021,834.02
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Children´s Disability,Agency Staff,01/01/2021,840.65
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,E & TS Occupational Therapy Service,Agency Staff,01/01/2021,876.04
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,E & TS Occupational Therapy Service,Agency Staff,01/01/2021,876.04
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,E & TS Occupational Therapy Service,Agency Staff,01/01/2021,876.04
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Financial Management Team,Agency Staff,01/01/2021,898.89
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,West Social Worker Caseholding Team,Agency Staff,01/01/2021,903.3
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Central Social Worker Caseholding Team,Agency Staff,01/01/2021,903.3
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,West Social Worker Caseholding Team,Agency Staff,01/01/2021,918.6
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Repair & Maintenance,Agency Staff,01/01/2021,930.75
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Repair & Maintenance,Agency Staff,01/01/2021,943.25
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,All Age Disability Team 15-26+,Agency Staff,01/01/2021,945.56
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,South Social Worker Caseholding Team,Agency Staff,01/01/2021,952.5
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,South Social Worker Caseholding Team,Agency Staff,01/01/2021,952.5
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Safeguarding Children Service,Agency Staff,01/01/2021,974.04
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Legal Services,Agency Staff,01/01/2021,981.62
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Multi Agency Safeguarding Hub (MASH),Agency Staff,01/01/2021,990.06
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,LAC Throughcare Team,Agency Staff,01/01/2021,990.6
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Internal Fostering Team,Agency Staff,01/01/2021,990.6
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,East Social Worker Caseholding Team,Agency Staff,01/01/2021,994.2
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,East Social Worker Caseholding Team,Agency Staff,01/01/2021,994.2
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,East Social Worker Caseholding Team,Agency Staff,01/01/2021,994.2
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Legal Services,Agency Staff,01/01/2021,998.4
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,All Age Disability Team 15-26+,Agency Staff,01/01/2021,1003.93
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Operational Property - COVID 19 specific expenditure,Agency Staff,01/01/2021,1006.83
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,ESU – Emergency Services Unit,Agency Staff,01/01/2021,1018.53
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,CSE - Team,Agency Staff,01/01/2021,1020
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,CSE - Team,Agency Staff,01/01/2021,1020
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,CSE - Team,Agency Staff,01/01/2021,1020
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,CSE - Team,Agency Staff,01/01/2021,1020
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,LAC Throughcare Team,Agency Staff,01/01/2021,1024.2
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,South Social Worker Caseholding Team,Agency Staff,01/01/2021,1024.2
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,West Social Worker Caseholding Team,Agency Staff,01/01/2021,1024.2
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,East Social Worker Caseholding Team,Agency Staff,01/01/2021,1024.2
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Social Worker Academy,Agency Staff,01/01/2021,1024.2
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,LAC Permanency,Agency Staff,01/01/2021,1024.2
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,LAC Permanency,Agency Staff,01/01/2021,1024.2
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,LAC Permanency,Agency Staff,01/01/2021,1024.2
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,LAC Permanency,Agency Staff,01/01/2021,1024.2
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,LAC Permanency,Agency Staff,01/01/2021,1024.2
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,LAC Permanency,Agency Staff,01/01/2021,1024.2
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Multi Agency Safeguarding Hub (MASH),Agency Staff,01/01/2021,1024.2
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,South Social Worker Caseholding Team,Agency Staff,01/01/2021,1024.5
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,East Social Worker Caseholding Team,Agency Staff,01/01/2021,1024.5
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Central Social Worker Caseholding Team,Agency Staff,01/01/2021,1024.5
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,East Social Worker Caseholding Team,Agency Staff,01/01/2021,1026.3
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,CSE - Team,Agency Staff,01/01/2021,1038.48
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Hospital Social Care Service,Agency Staff,01/01/2021,1044.27
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,West Social Worker Caseholding Team,Agency Staff,01/01/2021,1056.4
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Central Social Worker Caseholding Team,Agency Staff,01/01/2021,1062.6
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Legal Services,Agency Staff,01/01/2021,1070.35
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Legal Services,Agency Staff,01/01/2021,1070.35
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Central Social Worker Caseholding Team,Agency Staff,01/01/2021,1074.1
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,West Social Worker Caseholding Team,Agency Staff,01/01/2021,1096.5
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Social Worker Academy,Agency Staff,01/01/2021,1096.5
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Central Social Worker Caseholding Team,Agency Staff,01/01/2021,1096.8
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Legal Services,Agency Staff,01/01/2021,1099.14
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,MH Community Mental Health Team,Agency Staff,01/01/2021,1104.32
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,East Social Worker Caseholding Team,Agency Staff,01/01/2021,1125.29
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,West Social Worker Caseholding Team,Agency Staff,01/01/2021,1132.94
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Public Realm Projects,Agency Staff,01/01/2021,1136.16
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,MH Community Mental Health Team,Agency Staff,01/01/2021,1142.93
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,MH Community Mental Health Team,Agency Staff,01/01/2021,1142.93
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,MH Community Mental Health Team,Agency Staff,01/01/2021,1142.93
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,MH Community Mental Health Team,Agency Staff,01/01/2021,1142.93
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,E & TS Occupational Therapy Service,Agency Staff,01/01/2021,1154.77
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,E & TS Occupational Therapy Service,Agency Staff,01/01/2021,1154.77
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,E & TS Occupational Therapy Service,Agency Staff,01/01/2021,1154.77
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,E & TS Occupational Therapy Service,Agency Staff,01/01/2021,1154.77
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,E & TS Occupational Therapy Service,Agency Staff,01/01/2021,1154.77
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,E & TS Occupational Therapy Service,Agency Staff,01/01/2021,1154.77
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,E & TS Occupational Therapy Service,Agency Staff,01/01/2021,1154.77
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,All Age Disability Team 15-26+,Agency Staff,01/01/2021,1154.77
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,All Age Disability Team 15-26+,Agency Staff,01/01/2021,1154.77
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,All Age Disability Team 15-26+,Agency Staff,01/01/2021,1154.77
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Internal Fostering Team,Agency Staff,01/01/2021,1156
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Public Realm Projects,Agency Staff,01/01/2021,1160.17
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Public Realm Projects,Agency Staff,01/01/2021,1160.17
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Public Realm Projects,Agency Staff,01/01/2021,1160.17
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Public Realm Projects,Agency Staff,01/01/2021,1160.17
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,Place,Repair & Maintenance,Agency Staff,01/01/2021,1168.13
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,Children´s Disability,Agency Staff,01/01/2021,1174.38
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,South Social Worker Caseholding Team,Agency Staff,01/01/2021,1174.75
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,South Social Worker Caseholding Team,Agency Staff,01/01/2021,1174.75
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,South Social Worker Caseholding Team,Agency Staff,01/01/2021,1174.75
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,South Social Worker Caseholding Team,Agency Staff,01/01/2021,1174.75
Temporary & Agency Staff,Reed Specialist Recruitment Ltd,People,South Social Worker Caseholding Team,Agency Staff,01/01/2021,1174.75
