Body,Body Name,Name,Amount,Pay Date,Transaction Number,Description 1,Description 2,Description 3
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,633.81,04/12/2020,92394249,TPP - Extra care Housing,MI South D - Physical Support 18-64, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,428.25,04/12/2020,92394250,TPP - Extra care Housing,MI South E - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,822.24,04/12/2020,92394250,TPP - Extra care Housing,MI South D - Mental Health Support 18-64, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,124.19,04/12/2020,92394249,TPP - Extra care Housing,MI North A - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,359.73,04/12/2020,92394249,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1473.18,04/12/2020,92394250,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,942.15,04/12/2020,92394250,TPP - Extra care Housing,MI North B - Sensory Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,239.82,04/12/2020,92394250,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1353.27,04/12/2020,92394250,TPP - Extra care Housing,MI South E - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,225.14,04/12/2020,92394250,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,509.01,04/12/2020,92394250,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,925.02,04/12/2020,92394250,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,925.02,04/12/2020,92394250,TPP - Extra care Housing,MI South E - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1130.58,04/12/2020,92394250,TPP - Extra care Housing,MI North A - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,633.81,04/12/2020,92394249,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1978.52,04/12/2020,92394249,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,2124.12,04/12/2020,92394249,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1863.74,04/12/2020,92394249,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,959.28,04/12/2020,92394250,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1593.09,04/12/2020,92394249,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1027.8,04/12/2020,92394249,TPP - Extra care Housing,MI South E - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,256.95,04/12/2020,92394249,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,736.59,04/12/2020,92394250,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,496.77,04/12/2020,92394249,TPP - Extra care Housing,MI South D - Support with Memory & Cognition 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,719.46,04/12/2020,92394249,TPP - Extra care Housing,MI South E - Support with Memory & Cognition 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,359.73,04/12/2020,92394249,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1216.23,04/12/2020,92394249,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1250.49,04/12/2020,92394249,TPP - Extra care Housing,MI South D - Support with Memory & Cognition 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,68.52,04/12/2020,92394250,TPP - Extra care Housing,MI North B - Sensory Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,993.54,04/12/2020,92394250,TPP - Extra care Housing,MI South D - Physical Support 18-64, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,496.77,04/12/2020,92394250,TPP - Extra care Housing,MI South E - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1130.58,04/12/2020,92394249,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,77.09,04/12/2020,92394249,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,496.77,04/12/2020,92394250,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,342.6,04/12/2020,92394250,TPP - Extra care Housing,MI South E - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,548.16,04/12/2020,92394250,TPP - Extra care Housing,MI North A - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,942.15,04/12/2020,92394249,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,565.29,04/12/2020,92394250,TPP - Extra care Housing,MI South D - Physical Support 18-64, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,993.54,04/12/2020,92394250,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,-932.97,04/12/2020,92394250,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,342.6,04/12/2020,92394249,TPP - Extra care Housing,MI North B - Sensory Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,976.41,04/12/2020,92394249,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1130.58,04/12/2020,92394250,TPP - Extra care Housing,MI North A - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1130.58,04/12/2020,92394250,TPP - Extra care Housing,MI North A - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,376.86,04/12/2020,92394250,TPP - Extra care Housing,MI South D - Sensory Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1233.36,04/12/2020,92394250,TPP - Extra care Housing,MI South E - Mental Health Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,616.68,04/12/2020,92394250,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,565.29,04/12/2020,92394250,TPP - Extra care Housing,MI North A - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1130.58,04/12/2020,92394250,TPP - Extra care Housing,MI North A - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1130.58,04/12/2020,92394250,TPP - Extra care Housing,MI North A - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,479.64,04/12/2020,92394250,TPP - Extra care Housing,MI South E - Physical Support 18-64, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1250.49,04/12/2020,92394249,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1238.87,04/12/2020,92394250,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,2381.07,04/12/2020,92394249,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,695.48,04/12/2020,92394249,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,-1102.44,04/12/2020,92394249,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,967.23,04/12/2020,92394249,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,342.6,04/12/2020,92394250,TPP - Extra care Housing,MI South D - Physical Support 18-64, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,119.91,04/12/2020,92394249,TPP - Extra care Housing,MI South E - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,479.64,04/12/2020,92394250,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,685.2,04/12/2020,92394250,TPP - Extra care Housing,MI North A - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1233.36,04/12/2020,92394250,TPP - Extra care Housing,MI South E - Support with Memory & Cognition 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,624.02,04/12/2020,92394250,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,45.88,04/12/2020,92394250,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1010.67,04/12/2020,92394250,TPP - Extra care Housing,MI North B - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,513.9,04/12/2020,92394250,TPP - Extra care Housing,MI South D - Mental Health Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,633.81,04/12/2020,92394250,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,993.54,04/12/2020,92394250,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,282.65,04/12/2020,92394250,TPP - Extra care Housing,MI North A - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,513.9,04/12/2020,92394250,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,702.33,04/12/2020,92394250,TPP - Extra care Housing,MI South E - Social Support: Support for Isolation/Other, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,308.34,04/12/2020,92394250,TPP - Extra care Housing,MI South D - Social Support: Support for Isolation/Other, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1192.98,04/12/2020,92394249,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,565.29,04/12/2020,92394250,TPP - Extra care Housing,MI South E - Sensory Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,376.86,04/12/2020,92394250,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,411.12,04/12/2020,92394250,TPP - Extra care Housing,MI South E - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,890.76,04/12/2020,92394249,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,890.76,04/12/2020,92394250,TPP - Extra care Housing,MI North A - Mental Health Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1301.88,04/12/2020,92394250,TPP - Extra care Housing,MI North B - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1524.57,04/12/2020,92394250,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,616.68,04/12/2020,92394250,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,856.5,04/12/2020,92394250,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,548.16,31/12/2020,92409713,TPP - Extra care Housing,MI North A - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,633.81,31/12/2020,92409713,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,890.76,31/12/2020,92409713,TPP - Extra care Housing,MI North A - Mental Health Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1301.88,31/12/2020,92409713,TPP - Extra care Housing,MI North B - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1524.57,31/12/2020,92409713,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,616.68,31/12/2020,92409713,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,-611.79,31/12/2020,92409713,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,411.12,31/12/2020,92409713,TPP - Extra care Housing,MI South E - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,736.59,31/12/2020,92409713,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,993.54,31/12/2020,92409713,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,959.28,31/12/2020,92409713,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1216.23,31/12/2020,92409712,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,616.68,31/12/2020,92409713,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,565.29,31/12/2020,92409713,TPP - Extra care Housing,MI North A - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1010.67,31/12/2020,92409713,TPP - Extra care Housing,MI North B - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,513.9,31/12/2020,92409713,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1353.27,31/12/2020,92409713,TPP - Extra care Housing,MI South E - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,513.9,31/12/2020,92409713,TPP - Extra care Housing,MI South D - Mental Health Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1027.8,31/12/2020,92409712,TPP - Extra care Housing,MI South E - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,2535.24,31/12/2020,92409712,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,239.82,31/12/2020,92409713,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,942.15,31/12/2020,92409713,TPP - Extra care Housing,MI North B - Sensory Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,479.64,31/12/2020,92409713,TPP - Extra care Housing,MI South E - Physical Support 18-64, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,68.52,31/12/2020,92409713,TPP - Extra care Housing,MI North B - Sensory Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,993.54,31/12/2020,92409713,TPP - Extra care Housing,MI South D - Physical Support 18-64, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,496.77,31/12/2020,92409713,TPP - Extra care Housing,MI South E - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,428.25,31/12/2020,92409713,TPP - Extra care Housing,MI South E - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,119.91,31/12/2020,92409712,TPP - Extra care Housing,MI South E - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1101.21,31/12/2020,92409713,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,3641.35,31/12/2020,92409713,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1250.49,31/12/2020,92409712,TPP - Extra care Housing,MI South D - Support with Memory & Cognition 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,342.6,31/12/2020,92409712,TPP - Extra care Housing,MI North B - Sensory Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,702.33,31/12/2020,92409713,TPP - Extra care Housing,MI South E - Social Support: Support for Isolation/Other, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,308.34,31/12/2020,92409713,TPP - Extra care Housing,MI South D - Social Support: Support for Isolation/Other, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1284.75,31/12/2020,92409713,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,342.6,31/12/2020,92409713,TPP - Extra care Housing,MI South D - Physical Support 18-64, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,993.54,31/12/2020,92409713,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,2124.12,31/12/2020,92409712,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1863.74,31/12/2020,92409712,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,2381.07,31/12/2020,92409712,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,154.17,31/12/2020,92409712,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1284.75,31/12/2020,92409713,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1058.63,31/12/2020,92409712,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,445.38,31/12/2020,92409713,TPP - Extra care Housing,MI South E - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1593.09,31/12/2020,92409712,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1284.75,31/12/2020,92409712,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,496.77,31/12/2020,92409712,TPP - Extra care Housing,MI North A - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,342.6,31/12/2020,92409712,TPP - Extra care Housing,MI South D - Mental Health Support 18-64, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,342.6,31/12/2020,92409712,TPP - Extra care Housing,MI South D - Physical Support 18-64, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,496.77,31/12/2020,92409713,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1130.58,31/12/2020,92409713,TPP - Extra care Housing,MI North A - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,2006.66,31/12/2020,92409713,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,2809.32,31/12/2020,92409713,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,565.29,31/12/2020,92409713,TPP - Extra care Housing,MI South D - Physical Support 18-64, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,342.6,31/12/2020,92409713,TPP - Extra care Housing,MI South E - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,822.24,31/12/2020,92409713,TPP - Extra care Housing,MI South D - Mental Health Support 18-64, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1233.36,31/12/2020,92409713,TPP - Extra care Housing,MI South E - Mental Health Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,479.64,31/12/2020,92409713,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,685.2,31/12/2020,92409713,TPP - Extra care Housing,MI North A - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1233.36,31/12/2020,92409713,TPP - Extra care Housing,MI South E - Support with Memory & Cognition 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,376.86,31/12/2020,92409713,TPP - Extra care Housing,MI South D - Sensory Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,925.02,31/12/2020,92409713,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,282.65,31/12/2020,92409713,TPP - Extra care Housing,MI North B - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,925.02,31/12/2020,92409713,TPP - Extra care Housing,MI South E - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,2226.9,31/12/2020,92409712,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,522.47,31/12/2020,92409713,TPP - Extra care Housing,MI North A - Mental Health Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,942.15,31/12/2020,92409712,TPP - Extra care Housing,MI South D - Physical Support 65+, 
